Date,SalesTax,NYCTourists,TouristTax,NYWage,Unemployment,DowJones,DJQtrPct,SalesTaxIndex,DJIndexed,UnemploymentIndexed
2003 - Q2," 4,986,862.00 "," 9,072,000.00 "," 1,176,000.00 "," 91,462,243,357.00 ", 0.06 ," 9,233.80 ", 0.16 , 100.00 , 100.00 , 100.00 
2003 - Q3," 5,551,408.00 "," 11,340,000.00 "," 1,470,000.00 "," 89,496,343,204.00 ", 0.06 ," 9,801.12 ", 0.06 , 111.32 , 106.14 , 99.53 
2003 - Q4," 5,559,948.00 "," 9,450,000.00 "," 1,225,000.00 "," 104,227,501,522.00 ", 0.06 ," 10,488.07 ", 0.07 , 111.47 , 113.15 , 100.87 
2004 - Q1," 5,357,786.00 "," 8,379,000.00 "," 1,134,000.00 "," 111,628,688,770.00 ", 0.06 ," 10,225.57 ", (0.03), 107.84 , 110.65 , 102.97 
2004 - Q2," 5,779,353.00 "," 9,576,000.00 "," 1,296,000.00 "," 94,944,685,060.00 ", 0.06 ," 10,139.71 ", (0.01), 115.71 , 109.81 , 107.19 
2004 - Q3," 5,920,248.00 "," 11,970,000.00 "," 1,620,000.00 "," 95,188,643,521.00 ", 0.06 ," 10,027.47 ", (0.01), 118.14 , 108.70 , 113.69 
2004 - Q4," 5,904,042.00 "," 9,975,000.00 "," 1,350,000.00 "," 111,614,871,605.00 ", 0.05 ," 10,489.94 ", 0.05 , 117.87 , 113.32 , 119.19 
2005 - Q1," 5,673,487.00 "," 8,967,000.00 "," 1,142,400.00 "," 116,940,230,168.00 ", 0.05 ," 10,192.51 ", (0.03), 113.97 , 110.48 , 124.21 
2005 - Q2," 6,050,231.00 "," 10,248,000.00 "," 1,305,600.00 "," 99,723,436,500.00 ", 0.05 ," 10,640.91 ", 0.04 , 120.61 , 114.88 , 126.49 
2005 - Q3," 6,225,825.00 "," 12,810,000.00 "," 1,632,000.00 "," 101,275,418,460.00 ", 0.05 ," 10,440.07 ", (0.02), 123.51 , 112.99 , 125.01 
2005 - Q4," 5,968,174.00 "," 10,675,000.00 "," 1,360,000.00 "," 115,624,585,792.00 ", 0.05 ," 10,864.86 ", 0.04 , 119.37 , 117.06 , 125.26 
2006 - Q1," 5,934,184.00 "," 9,198,000.00 "," 1,310,400.00 "," 134,522,851,326.00 ", 0.05 ," 11,367.14 ", 0.05 , 118.80 , 121.68 , 129.71 
2006- Q2," 5,916,951.00 "," 10,512,000.00 "," 1,497,600.00 "," 106,245,497,678.00 ", 0.05 ," 11,185.68 ", (0.02), 118.51 , 120.09 , 130.71 
2006 - Q3," 6,083,596.00 "," 13,140,000.00 "," 1,872,000.00 "," 103,344,590,515.00 ", 0.05 ," 12,080.73 ", 0.08 , 121.33 , 128.09 , 134.69 
2006 - Q4," 6,154,494.00 "," 10,950,000.00 "," 1,560,000.00 "," 123,574,586,240.00 ", 0.04 ," 12,621.69 ", 0.04 , 122.49 , 132.57 , 140.37 
2007 - Q1," 5,808,348.00 "," 9,660,000.00 "," 1,354,500.00 "," 152,967,111,897.00 ", 0.04 ," 13,062.91 ", 0.03 , 116.87 , 136.06 , 141.10 
2007 - Q2," 6,222,661.00 "," 11,040,000.00 "," 1,548,000.00 "," 113,804,666,997.00 ", 0.04 ," 13,211.99 ", 0.01 , 124.00 , 137.20 , 137.11 
2007 - Q3," 6,361,045.00 "," 13,800,000.00 "," 1,935,000.00 "," 111,073,661,991.00 ", 0.05 ," 13,930.01 ", 0.05 , 126.22 , 142.64 , 132.98 
2007 - Q4," 6,347,903.00 "," 11,500,000.00 "," 1,612,500.00 "," 130,877,057,435.00 ", 0.05 ," 12,650.36 ", (0.09), 126.02 , 133.45 , 132.46 
2008 - Q1," 6,116,387.00 "," 9,891,000.00 "," 1,734,600.00 "," 154,989,830,978.00 ", 0.05 ," 12,820.13 ", 0.01 , 122.37 , 134.79 , 131.89 
2008 - Q2," 6,356,374.00 "," 11,304,000.00 "," 1,982,400.00 "," 117,509,186,606.00 ", 0.05 ," 11,378.02 ", (0.11), 126.29 , 123.55 , 126.21 
2008 - Q3," 6,688,384.00 "," 14,130,000.00 "," 2,478,000.00 "," 114,429,832,467.00 ", 0.06 ," 9,325.01 ", (0.18), 131.52 , 105.50 , 117.04 
2008 - Q4," 6,130,665.00 "," 11,775,000.00 "," 2,065,000.00 "," 132,152,523,963.00 ", 0.06 ," 8,000.86 ", (0.14), 123.18 , 91.30 , 104.59 
2009 - Q1," 5,826,946.00 "," 9,618,000.00 "," 1,575,000.00 "," 130,724,956,240.00 ", 0.07 ," 8,168.12 ", 0.02 , 118.23 , 93.39 , 88.91 
2009 - Q2," 5,861,403.00 "," 10,992,000.00 "," 1,800,000.00 "," 112,255,173,524.00 ", 0.08 ," 9,171.61 ", 0.12 , 118.82 , 105.68 , 78.78 
2009 - Q3," 6,168,203.00 "," 13,740,000.00 "," 2,250,000.00 "," 108,217,086,115.00 ", 0.09 ," 9,712.73 ", 0.06 , 124.05 , 111.58 , 74.13 
2009 - Q4," 7,005,205.00 "," 11,450,000.00 "," 1,875,000.00 "," 130,493,361,172.00 ", 0.09 ," 10,067.33 ", 0.04 , 137.62 , 115.23 , 72.82 
2010 - Q1," 6,500,577.00 "," 10,248,000.00 "," 1,701,000.00 "," 136,415,814,351.00 ", 0.09 ," 11,008.61 ", 0.09 , 130.42 , 124.58 , 72.78 
2010 - Q2," 6,791,387.00 "," 11,712,000.00 "," 1,944,000.00 "," 118,388,342,941.00 ", 0.09 ," 10,465.94 ", (0.05), 134.89 , 119.65 , 74.69 
2010 - Q3," 7,030,609.00 "," 14,640,000.00 "," 2,430,000.00 "," 113,424,304,664.00 ", 0.09 ," 11,118.49 ", 0.06 , 138.41 , 125.88 , 76.46 
2010 - Q4," 7,188,570.00 "," 12,200,000.00 "," 2,025,000.00 "," 134,445,510,008.00 ", 0.08 ," 11,891.93 ", 0.07 , 140.66 , 132.84 , 78.06 
2011 - Q1," 7,057,480.00 "," 10,689,000.00 "," 1,827,000.00 "," 147,227,174,531.00 ", 0.08 ," 12,810.54 ", 0.08 , 138.84 , 140.57 , 81.34 
2011 - Q2," 7,183,382.00 "," 12,216,000.00 "," 2,088,000.00 "," 120,688,601,754.00 ", 0.08 ," 12,143.24 ", (0.05), 140.62 , 135.36 , 81.49 
2011 - Q3," 7,293,349.00 "," 15,270,000.00 "," 2,610,000.00 "," 119,902,649,074.00 ", 0.08 ," 11,955.01 ", (0.02), 142.15 , 133.81 , 78.76 
2011 - Q4," 7,388,206.00 "," 12,725,000.00 "," 2,175,000.00 "," 133,686,713,809.00 ", 0.08 ," 12,632.91 ", 0.06 , 143.45 , 139.48 , 77.94 
2012 - Q1," 7,151,459.00 "," 11,067,000.00 "," 1,953,000.00 "," 148,817,586,980.00 ", 0.08 ," 13,213.63 ", 0.05 , 140.25 , 144.07 , 77.33 
2012 - Q2," 7,295,815.00 "," 12,648,000.00 "," 2,232,000.00 "," 122,861,211,676.00 ", 0.09 ," 13,008.68 ", (0.02), 142.27 , 142.52 , 75.46 
2012 - Q3," 7,335,179.00 "," 15,810,000.00 "," 2,790,000.00 "," 120,255,761,921.00 ", 0.09 ," 13,096.46 ", 0.01 , 142.81 , 143.20 , 76.23 
2012 - Q4," 7,381,898.00 "," 13,175,000.00 "," 2,325,000.00 "," 144,998,295,075.00 ", 0.08 ," 13,860.58 ", 0.06 , 143.44 , 149.03 , 79.86 
2013 - Q1," 7,408,233.00 "," 11,403,000.00 "," 2,037,000.00 "," 150,588,557,710.00 ", 0.08 ," 14,839.80 ", 0.07 , 143.80 , 156.10 , 83.09 
2013 - Q2," 7,602,718.00 "," 13,032,000.00 "," 2,328,000.00 "," 126,959,170,048.00 ", 0.08 ," 15,499.54 ", 0.04 , 146.42 , 160.54 , 85.99 
2013 - Q3," 7,705,754.00 "," 16,290,000.00 "," 2,910,000.00 "," 124,307,078,297.00 ", 0.08 ," 15,545.75 ", 0.00 , 147.78 , 160.84 , 87.70 
2013 - Q4," 7,658,329.00 "," 13,575,000.00 "," 2,425,000.00 "," 146,150,612,221.00 ", 0.07 ," 15,698.85 ", 0.01 , 147.16 , 161.83 , 94.57 
2014 - Q1," 7,441,866.00 "," 11,844,000.00 "," 2,100,000.00 "," 163,997,089,104.00 ", 0.07 ," 16,580.84 ", 0.06 , 144.34 , 167.44 , 99.44 
2014 - Q2," 7,813,485.00 "," 13,536,000.00 "," 2,400,000.00 "," 132,252,836,107.00 ", 0.07 ," 16,563.30 ", (0.00), 149.33 , 167.34 , 102.16 
2014 - Q3," 7,932,669.00 "," 16,920,000.00 "," 3,000,000.00 "," 135,375,484,736.30 ", 0.06 ," 17,390.52 ", 0.05 , 150.86 , 172.33 , 106.18 
2014 - Q4," 7,899,370.00 "," 14,100,000.00 "," 2,500,000.00 "," 152,244,481,101.24 ", 0.06 ," 17,832.99 ", 0.03 , 150.44 , 174.88 , 114.58 
